time,vx,vy,wz
1702607353203721.0,0.0,0.0,-0.0
1702607353245254.0,0.0,0.0,-0.0
1702607353285722.0,0.0,0.0,-0.0
1702607353326174.0,0.0,0.0,-0.0
1702607353366625.0,0.0,0.0,-0.0
1702607353407195.0,0.0,0.0,-0.0
1702607353447685.0,0.0,0.0,-0.0
1702607353488157.0,0.0,0.0,-0.0
1702607353528617.0,0.0,0.0,-0.0
1702607353569808.0,0.0,0.0,-0.0
1702607353610392.0,0.0,0.0,-0.0
1702607353650884.0,0.0,0.0,-0.0
1702607353691345.0,0.0,0.0,-0.0
1702607353731810.0,0.0,0.0,-0.0
1702607353772273.0,0.0,0.0,-0.0
1702607353812847.0,0.0,0.0,-0.0
1702607353853329.0,0.0,0.0,-0.0
1702607353893791.0,0.0,0.0,-0.0
1702607353935040.0,0.0,0.0,-0.0
1702607353975509.0,0.0,0.0,-0.0
1702607354016087.0,0.0,0.0,-0.0
1702607354056579.0,0.0,0.0,-0.0
1702607354097053.0,0.0,0.0,-0.0
1702607354137518.0,0.0,0.0,-0.0
1702607354177980.0,0.0,0.0,-0.0
1702607354218562.0,0.0,0.0,-0.0
1702607354258209.0,0.0,0.0,-0.0
1702607354298685.0,0.0,0.0,-0.0
1702607354340236.0,0.0,0.0,-0.0
1702607354380698.0,0.0,0.0,-0.0
1702607354421276.0,0.0,0.0,-0.0
1702607354461759.0,0.0,0.0,-0.0
1702607354502224.0,0.0,0.0,-0.0
1702607354542666.0,0.0,0.0,-0.0
1702607354583133.0,0.0,0.0,-0.0
1702607354623726.0,0.0,0.0,-0.0
1702607354665373.0,0.0,0.0,-0.0
1702607354705837.0,0.0,0.0,-0.0
1702607354746306.0,0.0,0.0,-0.0
1702607354786767.0,0.0,0.0,-0.0
1702607354827341.0,0.0,0.0,-0.0
1702607354867833.0,0.0,0.0,-0.0
1702607354908299.0,0.0,0.0,-0.0
1702607354948755.0,0.0,0.0,-0.0
1702607354989207.0,0.0,0.0,-0.0
1702607355029791.0,0.0,0.0,-0.0
1702607355071410.0,0.0,0.0,-0.0
1702607355111866.0,0.0,0.0,-0.0
1702607355152321.0,0.0,0.0,-0.0
1702607355192778.0,0.0,0.0,-0.0
1702607355232548.0,0.0,0.0,-0.0
1702607355273090.0,0.0,0.0,-0.0
1702607355313553.0,0.0,0.0,-0.0
1702607355354012.0,0.0,0.0,-0.0
1702607355394468.0,0.0,0.0,-0.0
1702607355435048.0,0.0,0.0,-0.0
1702607355476144.0,0.0,0.0,-0.0
1702607355516608.0,0.0,0.0,-0.0
1702607355557065.0,0.0,0.0,-0.0
1702607355597523.0,0.0,0.0,-0.0
1702607355638086.0,0.0,0.0,-0.0
1702607355678618.0,0.0,0.0,-0.0
1702607355719103.0,0.0,0.0,-0.0
1702607355759564.0,0.0,0.0,-0.0
1702607355800028.0,0.0,0.0,-0.0
1702607355840612.0,0.0,0.0,-0.0
1702607355881181.0,0.0,0.0,-0.0
1702607355922922.0,0.0,0.0,-0.0
1702607355963384.0,0.0,0.0,-0.0
1702607356003873.0,0.10298673063516617,0.0,-0.03693268075585365
1702607356045380.0,0.0994461327791214,0.0,0.0240179356187582
1702607356086931.0,0.1338060051202774,0.0,0.023992501199245453
1702607356127428.0,0.1632901281118393,0.0,0.012308454141020775
1702607356167912.0,0.17062537372112274,0.0,-0.024624815210700035
1702607356208379.0,0.18006455898284912,0.0,0.012317600660026073
1702607356243740.0,0.20844750106334686,0.0,-0.014096226543188095
1702607356284348.0,0.18358822166919708,0.0,-0.036824509501457214
